year,hours,tot_spp,participants,Black-bellied Whstling-Duck,Fulvous Whstling-Duck,Greater White-fronted Goose,Snow Goose-Blue,Snow Goose-White,Canada Goose,Muscovy Duck,Wood Duck,Gadwall,American Wigeon,American Black Duck,Mallard-Wild,Mallard-Feral,Mottled Duck,Blue-winged Teal,Northern Shoveler,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Greater Scaup,Lesser Scaup,Bufflehead,Common Goldeneye,Hooded Merganser,Common Merganser,Red-breasted Merganser,Ruddy Duck,Duck sp.,Northern Bobwhite,Wild Turkey,Common Loon,Pied-billed Grebe,Horned Grebe,Wood Stork,Brown Pelican,Dbl-cr Cormorant,Anhinga,American White Pelican,American Bittern,Least Bittern,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Tricolored Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,White Ibis,Glossy Ibis,Roseate Spoonbill,Black Vulture,Turkey Vulture,Osprey,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Accipiter sp.,Bald Eagle,  Bald Eagle Ad.,  Bald Eagle Imm.,  Bald Eagle Unk.,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,King Rail,Virginia Rail,Sora,Purple Gallinule,Common Moorhen,American Coot,Limpkin,Sandhill Crane,Black-bellied Plover,Killdeer,American Avocet,Greater Yellowlegs,Lesser Yellowlegs,Yellowlegs sp,Solitary Sandpiper,Spotted Sandpiper,Semipalmated Sandpiper,Western Sandpiper,Least Sandpiper,Peep sp.,Pectoral Sandpiper,Dunlin,Stilt Sandpiper,Short-billed Dowitcher,Long-billed Dowitcher,Dowitcher sp.,Wilson's Snipe,American Woodcock,Laughing Gull,Bonaparte's Gull,Ring-billed Gull,Herring Gull,Black-legged Kittiwake,Gull sp.,Gull-billed Tern,Royal Tern,Forster's Tern,Tern sp.,Rock Dove,Eur. Collared Dove,Streptopelia sp.,White-winged Dove,Mourning Dove,Common Ground-Dove,Monk Parakeet,Smooth-billed Ani,Groove-billed Ani,Barn Owl,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Short-eared Owl,Whip-Poor-Will,Vaux's Swift,Ruby-throated H'bird,Black-chinned Hummingbird,Archilochus sp,Selasphorus sp.,Hummingbird sp.,Belted Kingfisher,Red-headed Woodp.,Red-bellied Woodp.,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Red-cockaded Woodpecker,Northern Flicker,Pileated Woodpecker,American Kestrel,Merlin,Peregrine Falcon,Empidonax sp.,Eastern Phoebe,Vermilion Flycatcher,Ash-throated Flycatcher,Brown Crested Flycatcher,Myiarchus sp.,Western Kingbird,Eastern Kingbird,Tyrannus sp.,Loggerhead Shrike,White-eyed Vireo,Yellow-throated Vireo,Blue-headed Vireo,Blue Jay,American Crow,Fish Crow,Crow sp.,Tree Swallow,N. Rough-winged Swallow,Barn Swallow,Carolina Chickadee,Tufted Titmouse,Red-breasted Nuthatch,Brown-headed Nuthatch,Brown Creeper,Bewick's Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Carolina Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Hermit Thrush,Catharus sp.,American Robin,Gray Catbird,Northern Mockingbird,Brown Thrasher,European Starling,American Pipit,Cedar Waxwing,Ovenbird,Northern Waterthrush,Louisiana Waterthrush,Blue-winged Warbler,Tennessee Warbler,Black&White Warbler,Orange-crowned Warbler,Common Yellowthroat,Northern Parula,Magnolia Warbler,Black-throated Blue Warbler,Black-thoated Green Warbler,Blackburnian Warbler,Palm Warbler,Pine Warbler,Yellow-rumped Warbler,Yellow-throated Warbler,Prairie Warbler,American Redstart,Waterthrush sp.,Wilson's Warbler,Yellow-breasted Chat,Summer Tanager,Western Tanager,EasternTowhee,Bachman's Sparrow,Chipping Sparrow,Field Sparrow,Vesper Sparrow,Savannah Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Le Conte's Sparrow,Ammodramus sp,Fox Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,White-throated Sparrow,White-crowned Sparrow,Dark-eyed Junco,Northern Cardinal,Rose-brstd Grosbeak,Blue Grosbeak,Indigo Bunting,Painted Bunting,Dickcissel,Red-winged Blackbird,Eastern Meadowlark,Yellow-headed Blackbird,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Boat-tailed Grackle,Brown-headed Cowbird,Baltimore Oriole,Bullock's Oriole,Purple Finch,House Finch,Pine Siskin,American Goldfinch,House Sparrow,White-faced Ibis,Black-neccked Stilt,Willet,Nashville Warbler,Buff-bellied Hummingbird,Tundra Swan,Ross's Goose,Whooping Crane,Rufous Hummingbird,Franklin's Gull,Yellow Warbler,Orchard Oriole,Black Tern,Harris Sparrow,Least Flycatcher,Cave Swallow,Wood Thrush,Black Scoter,Sprague's Pipit,Green-tailed Towhee,Lesser Black-backed Gull,Gray-headed Swamphen
1957,16,75,6,0,0,0,0,0,0,0,0,50,0,0,0,0,0,200,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,10,0,0,0,3,200,50,75,25,0,3,10,0,0,0,0,9,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100,50,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,2,0,0,4,12,0,4,0,0,0,27,0,0,0,0,0,0,0,5,2,0,0,11,28,4,0,0,0,0,7,6,0,4,0,0,14,0,1,0,14,14,0,16,100,0,0,26,2,11,4,0,125,0,0,0,0,0,0,0,0,10,0,0,0,0,0,39,10,150,0,0,0,0,0,0,0,0,100,10,100,2,15,90,0,0,0,0,0,22,0,6,91,0,2,62,0,0,0,0,0,1000,28,1,0,0,0,100,10,0,0,3,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,25,108,13,0,0,0,0,0,0,0,11,23,60,16,10,0,0,23,0,2,2,0,0,30,0,80,0,0,0,0,0,30,0,30,0,0,12,0,0,0,28,35,0,2,0,17,37,100,33,15,2,5,42,1,20,0,0,25,60,0,6,2,0,0,4,0,0,0,17,0,3,0,0,0,1,0,76,43,0,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,44,12,0,0,0,0,0,0,0,0,0,0,100,21,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,3,12,15,5,6,0,4,44,5,17,0,0,0,33,0,0,0,0,0,0,0,26,2,0,0,31,30,5,0,33,0,1,4,6,0,20,0,0,10,0,4,20,16,18,0,12,19,1,0,150,2,19,4,15,200,20,2,0,0,0,0,2,1,5,0,0,0,0,0,57,3,65,3,0,0,0,0,0,0,0,34,3,200,7,17,70,0,0,0,0,0,15,0,15,100,0,0,55,0,0,0,0,0,807,166,0,0,0,32,27,2,0,0,0,0,0,150,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,12.5,96,13,0,0,0,0,0,0,0,0,16,2,5,100,0,0,75,14,40,60,0,2,4,0,0,0,0,8,0,0,0,0,24,0,0,9,0,0,0,65,24,0,1,0,26,23,15,61,6,250,1,92,0,0,0,0,8,61,0,15,0,0,0,2,0,0,0,4,1,1,0,0,0,0,0,42,300,0,77,0,80,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,375,95,0,0,0,0,0,0,0,0,0,0,74,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,12,9,2,1,1,1,23,3,32,0,0,0,27,0,0,0,0,0,0,0,18,0,0,2,33,33,3,0,33,0,0,9,3,0,0,0,0,4,0,0,0,14,4,0,19,11,0,0,74,1,18,11,19,150,0,3,0,0,0,0,2,0,6,0,0,0,0,0,77,0,52,4,0,0,0,0,0,0,0,11,0,108,0,20,52,0,0,0,0,0,5,0,6,27,0,0,26,0,0,0,0,0,1500,300,0,2,0,13,310,2,0,0,0,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,40,102,14,0,3,0,0,0,0,0,8,3,0,0,0,0,0,365,3,0,61,0,0,20,0,1200,0,0,82,0,0,2,0,45,0,0,28,0,2,0,24,13,0,2,0,12,113,55,602,285,1201,15,2,3,600,0,0,23,35,0,3,0,0,0,3,0,0,0,12,0,15,0,0,0,0,0,51,2200,0,72,0,85,0,76,6,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,328,1,0,0,0,0,0,0,0,0,0,0,202,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,5,3,1,0,0,24,6,61,0,0,0,152,0,0,0,0,0,0,0,52,3,0,4,18,37,18,0,540,0,0,0,2,0,0,0,0,6,0,1,0,9,5,1,22,13,1,0,3000,14,35,2,142,61,240,0,0,0,0,0,2,1,17,0,0,0,0,0,34,6,380,4,0,0,0,0,0,0,0,10,0,15,3,90,800,0,0,0,0,0,1,0,20,20,0,0,21,0,0,0,0,0,552,417,0,0,0,17,250,320,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,11,93,8,0,0,0,0,0,0,0,17,11,5,0,9,0,0,60,6,0,0,0,0,54,0,6,4,0,0,0,0,12,0,6,0,0,10,2,0,0,32,55,0,0,1,16,0,1,96,35,83,5,3,0,48,0,0,28,32,0,15,0,1,0,1,0,0,0,18,0,1,0,0,0,0,0,300,400,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,300,10,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,13,7,0,1,2,0,50,0,37,0,0,0,50,0,0,0,0,0,0,0,40,0,0,1,35,7,3,0,12,0,0,4,17,0,0,0,0,2,0,0,1,2,0,0,9,50,2,0,600,5,200,3,100,4,10,0,0,0,0,0,0,0,9,0,0,0,0,1,7,3,500,1,1,0,0,0,0,0,0,50,0,70,0,12,30,0,0,0,0,0,17,0,5,20,0,0,200,0,0,0,0,0,5000,50,0,100,0,500,2000,300,0,0,0,0,0,30,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,55,113,24,0,0,0,0,0,0,0,12,27,7,17,46,0,22,52,19,1,35,0,0,35,0,52,0,0,0,0,0,16,0,33,0,0,12,0,0,0,15,27,0,0,0,18,16,4,22,3,153,0,4,0,4,0,0,17,81,0,10,2,1,0,5,0,0,0,22,0,12,0,0,0,0,0,20,300,2,193,0,35,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,200,2,0,0,0,0,0,0,0,0,0,0,176,12,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,5,21,8,1,1,4,35,5,32,1,0,0,45,0,0,0,0,0,0,0,38,3,0,1,27,18,253,0,137,0,0,11,17,0,16,0,0,14,0,0,0,23,5,0,38,45,0,0,500,3,65,12,257,17,0,2,0,0,0,0,1,1,21,0,0,0,0,0,100,12,500,8,0,0,0,0,0,0,0,19,0,500,14,137,300,0,1,1,0,0,13,0,34,66,0,1,65,0,0,1,0,0,5000,300,0,1,10,76,2000,500,2,1,0,0,0,89,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,42,104,13,0,0,0,0,0,0,0,3,40,1,1,0,0,0,215,3,0,5,2,0,34,0,71,5,0,0,0,0,10,0,34,0,0,34,0,0,0,23,34,0,0,0,34,93,3,266,15,750,3,3,0,0,0,0,11,32,0,8,0,0,0,3,0,0,0,22,0,11,0,0,0,0,0,200,1200,0,6,0,61,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,200,0,0,0,0,1,0,0,0,0,0,0,450,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,13,13,8,3,1,0,42,4,43,1,0,0,54,0,0,0,0,0,0,0,69,1,0,0,48,23,110,0,350,0,0,6,32,0,1,0,0,21,0,5,0,26,5,0,31,252,3,0,850,4,65,5,160,59,25,0,0,0,0,0,5,2,9,0,0,0,0,0,84,2,400,6,0,0,0,0,0,0,0,12,0,350,2,45,250,0,1,0,0,0,13,0,23,65,0,2,84,0,0,0,0,0,1500,270,0,0,10,150,350,4,1,0,0,0,0,65,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,30,112,12,0,125,0,12,2,0,0,2,2,40,2,60,0,20,500,30,300,100,0,0,1,0,2,0,1,0,0,0,0,0,20,0,0,27,1,0,0,24,55,0,0,0,35,65,42,160,14,500,6,0,0,50,15,0,20,65,0,16,0,1,0,3,0,0,0,16,0,8,1,0,0,1,0,75,3000,0,120,0,120,0,12,20,0,0,0,0,0,12,0,0,0,0,12,0,0,600,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,250,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,18,5,4,0,0,30,4,38,0,0,0,40,0,0,1,0,0,0,0,18,12,0,1,28,130,70,0,1000,0,0,4,28,0,2,0,0,12,0,2,3,16,10,3,150,65,2,0,120,0,40,22,160,20,0,1,0,0,0,0,6,6,25,0,0,0,0,0,300,2,500,12,0,0,0,0,0,0,0,35,0,500,8,60,500,2,0,0,0,0,15,0,20,75,0,0,150,0,4,2,0,0,5000,600,0,0,0,400,600,150,4,0,0,0,0,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,47,123,16,0,0,0,0,0,0,0,200,2,150,0,8,0,30,250,16,11,350,0,0,35,0,6,1,0,4,1,1,190,0,2,0,0,18,3,0,0,28,65,0,2,0,22,18,6,28,16,20,2,4,0,18,0,0,15,95,1,12,0,3,0,5,0,0,0,18,0,22,0,0,1,0,0,95,1500,0,250,0,100,0,16,6,0,0,0,0,4,11,0,0,0,0,34,0,0,45,2,0,10,28,8,0,0,1,0,0,0,0,0,0,0,60,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,14,52,36,28,3,0,5,42,4,24,0,0,0,62,0,0,0,0,0,0,0,15,12,0,8,125,181,134,0,250,0,0,3,26,0,4,0,0,15,0,5,1,24,8,2,65,61,6,0,250,3,89,27,500,44,13,3,0,0,0,0,11,8,34,0,0,0,0,0,49,5,267,11,0,0,0,0,0,0,0,26,0,60,6,31,116,1,0,0,0,0,31,0,85,75,0,1,118,0,0,0,0,0,5000,350,0,8,0,2500,1500,250,4,0,0,0,0,63,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,26,103,13,0,0,0,0,0,0,0,6,150,180,0,2,0,5,210,290,5,34,0,0,18,0,30,0,0,2,0,0,0,0,16,0,0,11,2,0,0,170,230,0,1,0,29,300,12,35,25,1200,1,10,0,11,0,0,20,6,1,3,0,0,0,4,0,0,0,5,0,22,0,0,0,0,0,18,400,0,19,0,184,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1500,200,0,0,0,0,0,0,0,0,0,0,850,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,12,8,16,0,0,2,35,2,21,0,0,0,24,0,0,0,0,0,0,0,26,8,0,3,32,14,86,0,135,0,0,4,11,0,1,0,0,8,0,1,0,25,12,3,65,38,6,0,4,2,45,7,350,35,0,0,0,0,0,0,20,6,12,0,0,0,0,0,28,7,92,8,0,0,0,0,0,0,0,15,0,165,0,4,20,1,0,0,0,0,12,0,10,26,0,0,43,0,0,0,0,0,250,200,0,0,0,250,600,75,1,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,26,103,9,0,0,0,0,0,0,0,4,250,4,0,0,0,0,150,130,0,18,0,0,65,0,0,0,0,5,0,0,2,0,0,0,0,8,0,0,0,55,176,0,1,0,15,16,8,25,16,160,4,0,0,30,0,0,12,39,0,9,0,0,0,2,0,0,0,5,0,6,0,0,0,2,0,23,370,0,10,0,85,0,15,4,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,375,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,8,12,22,2,0,2,42,6,16,0,0,0,42,0,0,0,0,0,0,0,42,28,0,4,73,12,56,0,500,0,0,4,19,0,0,0,0,18,0,0,1,14,9,5,104,146,31,0,464,1,63,12,1066,131,55,3,0,0,0,0,6,11,14,0,0,0,0,0,55,11,275,15,0,0,0,0,0,0,0,16,0,202,14,36,39,6,0,0,0,0,12,0,21,42,0,5,87,0,0,0,0,0,1335,65,0,0,0,125,340,130,1,0,12,0,2,115,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,37,121,22,0,0,0,7,0,0,0,70,700,175,200,40,0,2,400,32,850,350,0,0,5,0,26,5,0,5,0,0,9,0,5,0,0,10,1,0,0,112,124,0,1,0,21,14,8,18,18,82,3,8,1,70,8,0,20,130,1,21,2,2,0,16,0,0,0,14,0,12,0,0,0,5,0,72,41,0,500,0,180,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,600,9,0,0,250,20,0,0,0,0,0,0,0,0,0,0,362,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,2,27,4,2,1,3,72,7,14,1,0,0,42,1,0,0,0,0,0,0,16,0,0,0,90,18,36,0,500,0,0,8,18,0,0,0,0,12,0,1,2,32,6,1,70,36,8,0,400,4,68,8,123,15,23,4,0,0,0,0,5,8,36,0,0,0,0,0,64,2,500,16,0,0,0,0,0,1,0,12,0,400,4,52,300,1,0,0,0,1,20,0,65,76,0,0,60,0,0,0,0,0,1200,350,0,0,0,1000,800,200,35,0,2,0,5,28,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,46,119,18,0,0,0,0,0,0,0,27,8,260,4,202,0,2,240,42,20,4000,0,0,264,0,10,0,3,0,0,1,2,0,17,0,0,32,0,0,0,125,462,0,0,0,34,26,7,27,16,3000,4,4,0,460,55,0,39,310,1,14,1,0,0,3,0,0,0,14,0,22,0,0,0,1,0,350,3150,0,600,0,125,0,8,40,0,0,0,0,0,75,0,0,15,0,20,0,0,200,2,0,0,1150,18,0,0,0,0,0,0,0,0,0,0,450,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,8,22,12,5,1,1,38,5,31,1,0,0,18,0,0,0,0,0,0,0,16,8,0,3,77,13,275,0,38,0,0,8,22,0,3,0,0,7,0,1,0,36,13,0,18,14,2,0,450,6,75,4,350,110,120,0,0,0,0,0,4,2,12,0,0,0,0,0,110,2,250,4,0,0,0,0,0,0,0,15,0,140,8,65,130,0,0,0,0,1,11,0,8,140,0,2,120,0,1,0,0,0,2000,70,0,36,5,500,500,500,35,0,0,0,0,190,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,73,125,24,0,0,0,2,0,0,0,11,8,600,21,202,0,95,121,166,612,80,0,1,400,0,5,20,0,0,0,0,140,0,20,0,0,42,1,0,0,166,209,0,0,0,62,423,55,166,41,503,0,5,0,1000,59,0,59,369,2,36,4,1,0,16,10,6,0,24,0,53,0,0,0,1,0,60,480,0,570,0,302,0,28,19,0,0,0,0,0,8,0,0,0,0,0,0,0,932,2,0,79,352,0,0,0,0,0,0,0,0,0,0,0,456,11,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,13,24,43,29,7,3,5,104,14,84,0,1,0,92,1,0,0,0,0,0,0,57,20,0,8,57,32,262,0,415,0,0,26,32,0,10,0,0,19,1,2,3,38,62,0,107,394,6,0,3474,5,75,12,318,111,30,3,0,0,0,0,14,9,17,0,0,0,0,0,538,25,872,18,4,0,0,0,1,0,0,15,0,254,1,110,139,1,0,0,0,0,18,0,18,45,0,0,169,0,1,0,0,0,6000,1001,0,162,22,1150,3650,360,34,0,0,0,0,335,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,68,132,25,0,0,1,2,0,0,0,18,18,720,13,87,0,42,131,74,1300,3424,3,0,24,0,8,4,0,0,0,0,37,0,52,25,0,40,0,2,0,616,226,0,2,0,61,115,32,219,24,267,14,10,0,1063,26,0,41,415,6,37,0,2,0,9,0,0,0,41,0,37,0,2,0,17,0,185,710,0,687,0,269,0,44,21,0,0,0,0,0,38,0,2,0,0,36,0,0,552,3,0,15,4556,1,0,0,0,0,0,0,0,0,0,0,246,43,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,20,95,75,50,22,3,7,101,20,45,1,0,0,102,0,0,0,0,0,0,0,44,25,0,4,519,210,4518,0,2335,0,0,54,79,0,18,0,0,42,1,1,21,57,65,0,193,117,25,0,1369,13,202,49,644,80,104,2,0,0,0,0,42,13,92,1,0,0,1,0,201,26,538,61,0,0,0,0,0,0,0,90,4,89,125,49,156,0,0,0,0,1,23,0,106,147,0,3,323,0,0,0,0,0,31898,454,0,35,50,963,645,159,36,0,18,0,0,175,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,84,131,23,0,0,1,0,0,0,0,336,25,182,20,32,0,47,290,92,1,1200,0,0,8,0,36,0,0,5,0,11,1,0,22,0,0,16,0,2,0,170,108,0,1,0,92,106,25,115,51,623,10,24,0,713,51,0,16,47,6,35,0,0,1,7,0,0,0,32,0,22,0,3,1,1,0,203,904,0,971,0,302,0,10,23,0,0,0,4,0,5,0,0,2,0,18,0,0,355,1,0,0,385,5,0,0,1,0,1,0,0,0,0,0,468,12,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,12,69,40,10,7,2,8,172,17,43,0,0,0,49,0,0,0,0,0,0,0,38,9,0,3,159,50,1129,0,817,0,0,32,50,0,8,1,0,25,0,0,3,42,50,1,168,108,4,0,4967,6,68,12,1023,134,164,0,0,0,0,0,16,13,58,0,0,0,0,0,192,43,848,11,0,0,0,0,0,1,0,43,0,105,1,53,108,1,0,0,0,0,72,0,97,91,0,3,208,0,0,0,0,0,35314,240,1,2,6,638,1034,644,18,0,0,0,1,628,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
