1974,98,134,36,0,0,0,0,0,39,0,188,31,254,20,333,0,45,397,9,56,2136,0,0,7,0,43,0,0,0,0,1,7,0,35,1,0,17,0,0,0,443,140,0,4,0,167,174,12,110,42,369,16,13,0,274,18,0,1,1,1,27,0,1,0,9,1,2,6,51,0,27,0,13,3,2,0,162,844,0,407,0,286,0,30,10,0,0,1,0,0,20,0,0,0,0,2,0,0,258,19,0,0,396,0,0,0,0,0,2,3,215,0,0,0,1273,23,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,24,17,52,24,11,2,1,107,15,45,1,0,1,73,1,0,0,0,1,1,0,82,21,0,14,337,114,550,0,3168,0,0,32,70,0,4,0,0,35,0,0,16,65,92,2,377,96,12,0,317,4,125,22,1036,120,0,2,0,0,0,0,23,10,64,1,0,0,0,0,147,23,670,29,2,0,0,1,0,0,0,68,1,72,5,71,287,0,0,0,0,0,41,0,152,181,0,3,366,0,0,0,0,0,3497,439,1,14,20,757,1489,99,39,0,10,0,0,116,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,135,143,42,0,0,0,0,0,0,0,102,13,115,28,208,0,6,47,32,100,337,2,40,76,0,0,14,0,8,0,1,6,0,159,0,1,22,0,0,0,184,102,0,1,0,111,181,13,67,25,127,11,31,0,153,23,0,95,400,2,27,7,6,0,19,0,0,0,51,0,95,0,8,28,27,0,92,673,1,392,0,359,0,26,7,0,0,1,0,0,3,0,0,0,0,2,0,0,303,3,0,3,679,21,0,0,0,0,7,0,54,0,0,0,432,44,0,0,0,2,4,10,24,0,0,0,0,0,0,0,0,25,63,136,73,36,4,3,150,35,77,0,0,0,145,0,0,0,0,0,0,0,103,44,1,25,279,192,122,0,874,0,0,99,151,0,9,0,0,120,3,5,17,101,274,0,502,105,20,1,5390,20,180,44,1000,131,47,4,0,0,0,1,42,19,191,3,0,0,0,0,213,39,1870,27,1,0,0,0,0,0,0,139,1,430,21,54,391,5,1,0,0,0,69,0,316,280,10,1,369,0,0,0,0,0,7777,503,1,21,100,1346,1496,1100,33,0,14,0,0,459,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,180,144,63,0,2,0,0,0,0,0,261,9,555,20,48,0,35,78,1,0,446,0,2,375,0,122,4,4,46,0,1,64,0,163,39,0,95,7,0,0,403,158,0,1,0,101,126,18,101,22,807,11,5,0,242,0,0,128,822,0,66,12,6,0,32,6,12,14,48,0,112,0,7,41,43,1,257,824,1,579,0,371,0,25,8,0,0,2,0,0,0,0,0,0,0,0,0,1,467,14,0,1,2527,306,0,0,0,0,6,0,68,0,0,0,465,23,0,0,0,2,18,15,35,0,0,0,0,0,0,0,1,39,93,158,79,30,1,0,178,66,79,1,0,1,207,0,0,0,0,0,0,0,119,47,0,40,231,140,24,0,655,0,0,68,93,1,6,0,0,112,2,35,3,139,192,9,751,110,46,0,4166,50,187,31,4367,186,99,2,0,0,0,1,47,42,141,0,0,0,0,0,183,82,4277,17,4,0,0,0,0,0,0,124,4,254,26,50,190,0,0,4,0,2,117,0,243,441,3,46,269,0,0,0,0,0,5801,482,0,121,84,1237,16507,30,10,0,29,0,0,451,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,167.5,150,74,0,0,0,3,0,0,0,49,15,395,28,203,0,30,58,60,3,863,1,4,56,0,589,6,7,62,0,28,203,0,124,1,4,49,3,2,0,46,121,0,1,0,119,98,12,150,25,1827,11,27,1,543,50,0,99,672,0,54,27,9,1,38,5,15,18,60,0,87,9,9,4,12,1,43,125,0,338,0,424,0,27,10,0,0,1,0,0,0,0,0,0,0,0,0,0,329,1,1,19,4515,50,0,0,0,0,15,0,143,0,0,0,774,32,0,0,0,0,20,10,11,0,0,0,0,0,0,0,1,24,69,112,35,24,1,1,163,37,90,0,1,0,113,0,0,0,0,0,0,0,123,27,0,26,157,167,42,15,73,0,0,86,128,0,9,1,0,36,0,2,7,119,66,1,157,106,18,0,6627,25,141,20,2243,128,53,1,0,0,0,0,43,15,59,1,0,0,0,0,125,59,4727,37,4,0,0,0,0,0,0,139,1,132,8,52,270,1,0,1,0,0,44,0,64,312,1,29,277,0,0,0,0,0,22278,338,0,69,2,2985,13266,910,3,0,13,0,11,634,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,146.5,137,60,0,0,0,5,0,0,0,170,119,2697,0,46,0,38,247,76,126,1977,1,0,1357,0,574,5,2,32,0,1,35,0,227,2,1,339,0,0,0,627,136,0,2,0,142,155,15,105,29,319,8,13,0,252,66,0,77,1157,5,74,34,2,0,42,8,17,17,52,0,88,0,15,15,36,1,219,3761,0,331,0,443,0,7,18,0,0,1,0,0,29,0,0,0,0,0,0,0,298,9,0,202,1914,12,0,0,0,0,6,0,179,0,0,0,869,7,0,0,0,0,9,19,11,0,0,0,0,0,0,0,0,32,78,108,24,26,0,1,200,44,83,0,0,0,139,0,0,0,0,0,0,0,102,25,0,17,98,164,173,10,276,0,1,52,111,1,25,0,0,39,0,13,4,93,87,1,213,67,13,0,1176,19,91,9,296,236,9,3,0,0,0,0,42,13,86,0,0,0,0,0,132,50,5898,20,0,0,0,0,0,0,0,77,1,174,12,41,153,0,0,0,0,4,38,0,115,105,3,3,223,0,0,0,0,0,16290,574,0,490,302,5287,5695,475,3,0,0,0,0,173,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,140,140,57,0,0,0,5,0,0,0,40,19,185,2,20,0,4,302,6,0,30,0,6,378,0,193,5,2,14,0,1,5,0,132,16,0,59,0,5,0,189,317,0,0,0,173,191,14,146,30,294,20,3,0,259,21,0,6,27,5,56,7,1,2,20,12,3,5,59,0,36,0,6,10,29,1,374,5745,0,403,0,144,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,159,12,0,2,2463,1,0,0,0,0,1,0,35,0,0,0,1639,23,0,2,1,2,28,18,23,0,0,0,0,0,0,0,0,41,30,114,10,25,2,1,168,49,58,0,0,0,127,1,0,0,0,0,0,0,78,46,0,20,186,137,41,0,23,0,0,62,125,0,14,3,1,39,0,34,21,76,83,4,279,71,9,0,217,18,112,8,971,61,11,2,0,0,0,0,60,14,107,1,0,0,0,0,54,41,8157,26,0,0,0,0,0,0,0,95,1,207,36,99,246,1,0,0,0,1,98,0,234,165,3,1,225,0,0,0,0,0,7265,446,0,7,25,4424,2497,0,5,0,0,0,0,353,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,103.5,135,44,0,0,0,0,0,11,0,351,52,322,26,23,0,34,385,81,3,262,0,5,458,0,12,0,0,43,0,0,3,0,69,25,0,312,0,0,0,744,247,0,1,0,133,132,15,111,23,262,6,15,0,916,53,0,115,400,5,58,6,2,0,62,7,9,46,28,0,52,0,3,3,19,1,426,4935,0,328,0,502,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,7,210,16,0,4,1594,37,0,0,0,0,38,0,163,0,0,0,583,16,0,0,0,0,5,14,12,0,0,0,0,0,0,0,0,22,17,63,13,12,1,1,171,27,64,1,0,0,101,1,0,0,0,0,0,0,80,30,0,15,117,109,21,24,900,0,0,61,48,3,3,0,0,52,1,9,10,66,50,11,275,63,6,0,1202,23,125,11,1308,38,47,0,0,0,0,0,40,18,64,0,0,0,0,0,129,34,3800,14,1,0,0,2,0,0,0,81,0,146,107,44,69,0,0,0,0,0,34,0,90,123,0,5,182,0,0,0,0,0,11646,327,0,3,1000,782,4065,5,1,0,37,0,0,356,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,96,137,47,0,0,0,0,0,13,0,137,83,300,40,363,0,75,266,70,175,1672,6,0,470,0,76,4,0,99,0,4,14,0,93,10,0,549,0,14,0,615,165,0,3,0,218,327,25,55,16,23,0,14,0,332,12,0,94,256,4,75,11,4,0,59,0,0,0,25,0,115,0,7,2,9,0,82,1648,1,1469,0,964,0,15,8,0,0,1,0,0,39,2,0,0,0,0,2,0,213,9,0,26,4624,6,0,0,0,0,11,0,168,0,0,0,396,4,0,0,0,1,6,16,9,0,0,0,0,0,0,0,1,22,31,55,19,14,1,0,47,18,58,0,0,0,66,0,0,0,0,0,0,0,46,15,0,18,129,125,22,0,96,0,0,49,56,1,3,0,0,28,0,9,9,60,31,2,165,40,6,0,47,10,67,15,629,222,0,1,0,0,0,0,32,39,66,0,0,0,0,0,45,36,2135,16,0,0,0,0,0,0,0,69,1,165,14,64,84,0,0,0,0,0,33,0,56,46,1,1,203,0,0,0,0,0,9137,194,0,9,301,2530,757,126,11,0,0,0,0,290,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,121.5,130,52,0,0,0,0,0,0,0,158,89,86,7,91,0,14,445,7,3,690,1,0,28,0,65,1,1,29,0,3,40,15,65,20,0,41,0,0,0,702,359,0,0,0,167,157,25,319,45,85,15,27,0,313,115,0,166,754,3,41,12,3,0,70,29,30,11,28,0,74,0,6,4,28,1,219,519,0,432,0,385,0,17,0,0,0,0,0,0,0,2,0,1,0,0,0,0,324,2,0,0,1873,11,0,0,0,0,42,0,56,0,0,0,366,0,0,0,0,0,5,10,13,0,0,0,0,0,0,0,0,31,11,61,21,35,0,0,101,43,71,0,0,0,130,0,0,0,0,0,0,0,61,28,0,8,184,120,38,0,111,0,0,38,59,0,4,0,0,39,1,6,9,126,49,2,152,164,16,1,2927,15,110,8,655,124,199,1,0,0,0,0,30,21,96,1,0,0,0,0,188,47,1019,17,1,0,0,0,0,0,0,59,0,175,12,22,24,0,0,0,0,0,18,0,135,97,10,0,204,0,0,0,0,0,3912,235,0,2,60,1737,1306,401,11,0,0,0,0,333,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,149,140,67,0,0,0,7,3,0,0,318,150,494,8,77,0,80,363,25,15,1317,4,3,1027,0,188,2,4,46,0,9,23,0,73,0,0,109,0,0,0,670,243,0,1,1,156,142,37,150,18,190,11,16,0,405,84,0,100,241,12,40,12,4,0,55,29,26,0,62,0,55,0,2,8,11,1,215,830,0,694,0,359,0,40,2,0,0,1,0,0,0,0,0,0,0,0,0,0,383,10,0,29,1803,8,1,72,0,0,78,1,265,0,0,0,1090,2,0,0,0,1,6,15,22,0,0,0,0,0,0,0,0,42,63,136,36,28,2,0,214,80,85,1,0,0,149,0,0,0,0,0,0,0,86,62,0,20,490,176,55,0,116,0,0,87,158,0,9,0,0,96,1,16,12,130,138,7,441,146,15,0,3943,17,162,12,509,167,449,8,0,0,0,1,42,27,124,5,0,1,0,0,161,147,3843,21,4,0,0,1,0,0,0,84,0,238,7,47,54,0,0,0,0,0,41,0,268,81,0,0,302,0,0,0,0,0,12134,516,0,10,1,1735,1221,200,3,0,10,0,0,356,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,149.5,142,61,0,0,0,0,0,0,0,2083,200,308,50,67,0,62,1416,3,3,982,4,0,1944,2,55,10,0,125,0,2,0,74,23,2,1,98,0,7,0,219,254,0,1,0,158,188,34,107,23,402,20,22,1,1052,64,0,99,492,4,51,8,1,0,38,25,13,0,75,0,57,0,10,17,51,4,489,1562,0,1411,0,652,0,54,21,0,0,1,0,0,27,0,0,26,0,0,3,0,814,17,0,17,1191,7,0,0,0,0,95,0,177,0,0,0,891,9,0,0,0,2,16,21,18,0,5,0,1,0,0,0,0,45,18,132,32,50,1,0,205,73,82,3,0,0,170,0,0,0,1,0,0,0,104,78,0,36,207,174,45,2,165,0,0,90,175,0,21,0,0,76,0,13,2,186,89,0,506,56,18,0,1096,24,164,32,1438,265,164,1,0,0,0,0,73,31,121,2,0,0,0,0,192,62,2634,55,2,0,0,2,0,1,0,81,0,107,2,24,83,0,0,0,0,0,15,0,118,41,4,0,359,1,0,0,0,0,8727,448,0,21,20,2734,1559,31,11,0,0,0,0,261,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,133.1,139,45,0,0,0,19,5,0,0,55,30,28,15,45,0,28,71,20,30,600,0,0,2086,0,93,27,6,38,0,1,0,0,12,4,1,120,0,0,0,329,116,0,2,1,123,156,23,101,15,421,17,2,0,1743,85,0,54,593,3,40,12,1,0,66,46,20,0,49,0,74,0,7,11,69,1,259,2042,3,1385,0,372,0,33,56,0,0,0,0,0,43,0,0,0,0,0,0,0,328,7,1,14,2900,23,0,0,0,0,6,0,60,0,0,0,939,4,0,0,0,1,8,14,25,0,1,0,0,0,0,0,0,33,34,130,47,23,4,0,130,43,59,0,0,1,147,0,0,0,0,0,0,0,55,33,0,19,171,204,27,0,3131,0,0,79,193,0,10,0,0,73,0,5,13,124,215,0,399,100,18,0,1386,43,198,15,1136,102,67,4,0,0,0,0,42,25,104,1,0,0,0,0,443,60,1436,22,0,0,0,0,0,0,0,112,0,91,3,31,86,0,0,1,0,1,22,2,125,44,11,0,235,0,1,0,0,0,17563,386,0,1,740,6059,1150,244,8,0,0,0,0,418,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,151,140,62,0,6,0,0,1,0,0,77,30,252,14,249,0,89,345,2,20,1323,0,1,134,0,3,9,0,177,0,3,5,0,68,35,2,89,0,6,0,297,233,0,2,0,175,223,26,119,14,109,18,15,0,975,81,0,375,585,3,35,17,6,3,36,25,10,1,80,0,49,0,8,11,53,0,73,958,7,1452,0,426,0,45,30,0,0,0,0,0,3,0,0,0,0,0,0,0,142,6,0,7,9100,83,0,0,0,1,25,0,98,0,0,0,761,7,0,1,0,6,13,14,16,0,1,0,0,0,0,0,0,38,85,195,35,47,1,0,196,81,95,0,0,0,263,0,0,0,0,1,0,0,85,86,0,33,229,251,60,0,328,0,0,93,223,0,12,0,0,60,0,11,5,174,252,0,397,145,13,0,1728,33,179,19,895,53,56,3,0,0,0,0,40,28,141,2,0,0,0,0,888,145,2552,26,2,0,0,0,0,0,0,75,0,347,3,68,235,1,0,0,0,0,24,0,98,31,9,0,295,0,0,0,0,0,13360,349,0,3,25,9213,1011,5,4,0,0,0,0,384,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,164.5,137,60,0,0,0,2,3,0,0,149,10,136,10,52,0,100,498,21,70,475,0,0,77,0,5,0,2,215,0,17,0,0,96,5,0,147,2,13,0,1003,276,0,0,0,193,112,20,75,20,96,16,36,0,501,46,0,80,529,6,34,13,4,1,54,28,23,3,88,0,37,0,7,13,17,0,115,1552,2,2030,0,400,0,28,15,0,0,1,0,0,40,0,0,0,0,0,0,5,280,31,0,142,4692,6,0,0,0,0,57,0,333,0,0,0,752,4,0,0,0,0,28,16,31,0,1,0,0,0,0,1,0,39,13,134,42,74,0,0,128,74,68,2,0,0,228,0,0,0,0,0,0,0,92,71,1,40,263,242,44,0,818,0,0,84,163,0,20,0,0,52,0,42,2,207,234,0,353,84,16,0,2980,30,157,16,894,37,18,2,0,0,0,0,37,16,168,1,0,0,0,0,364,191,2714,26,1,2,0,3,0,0,0,106,0,326,30,20,36,0,1,1,0,0,153,0,147,16,0,0,356,0,0,0,0,0,5127,340,0,4,52,796,1240,160,10,0,0,0,0,359,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,165,135,67,0,0,0,0,0,0,0,216,6,14,57,12,0,41,221,2,2,549,0,0,79,4,0,3,0,307,0,0,16,0,82,13,0,69,0,44,0,974,133,0,0,0,119,241,75,422,27,66,17,41,1,897,80,0,96,490,12,36,12,3,1,34,24,9,1,54,0,53,0,10,0,68,1,114,29,0,1279,0,246,0,24,53,0,0,0,0,0,10,0,0,0,0,0,0,0,531,2,0,71,4251,12,0,0,0,0,73,0,67,0,0,0,780,3,0,0,0,1,27,11,18,0,0,0,0,0,0,0,0,41,1,111,32,50,1,0,95,55,60,1,0,0,257,1,0,0,0,0,0,0,91,53,0,45,135,306,5,14,1185,0,0,67,126,0,19,0,0,53,0,6,5,141,219,7,449,73,20,0,569,26,176,17,448,46,1,1,0,0,0,0,29,26,211,1,0,0,0,0,204,201,3842,41,0,1,0,3,0,0,0,84,0,251,14,15,170,1,0,0,0,0,62,0,203,75,20,0,308,0,0,0,0,0,5214,353,0,6,8,1474,1303,53,5,0,0,0,0,265,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,188,150,63,0,0,0,19,9,1,0,203,3,78,3,11,0,45,304,5,131,2068,0,0,7,0,0,6,0,394,0,0,0,0,56,1,4,59,0,24,0,364,251,0,1,1,237,189,83,174,25,35,17,49,0,534,89,0,173,321,3,35,25,4,0,71,52,19,0,78,0,42,0,2,6,26,0,136,116,2,2552,2,560,0,34,10,0,0,0,0,2,13,0,0,0,0,0,59,20,239,3,0,190,7701,50,0,0,0,0,71,0,143,0,0,0,1007,0,1,0,0,1,15,12,14,0,1,1,0,0,0,1,0,61,9,160,33,87,2,0,85,70,74,1,0,0,281,0,0,0,0,0,0,0,84,48,0,55,179,298,11,3,625,0,0,130,207,0,10,0,0,120,0,5,3,175,294,0,465,140,21,2,1781,61,140,15,261,57,21,7,0,0,0,1,37,28,154,0,0,0,0,0,430,176,3030,30,2,1,0,0,0,0,0,73,1,223,13,21,188,0,0,1,0,1,181,2,227,144,22,1,317,0,0,0,0,0,10596,264,0,3,250,1010,1553,6,8,0,1,0,3,391,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,186,142,67,0,0,0,0,0,0,0,382,15,102,0,5,0,0,23,4,2,1007,1,2,250,0,148,3,1,325,0,6,0,0,42,20,2,334,3,10,0,491,145,0,1,0,144,110,35,111,18,9,14,42,0,389,0,0,76,629,4,42,9,5,1,62,33,26,3,72,1,52,0,0,8,14,0,299,1230,2,867,0,241,0,16,20,0,0,0,0,0,35,0,0,0,0,0,0,15,287,8,0,0,1319,3,0,0,0,0,47,0,292,0,1,0,707,2,0,0,0,0,27,15,25,0,0,0,0,0,0,1,0,40,70,160,33,67,2,0,116,81,75,3,0,0,249,0,0,0,0,0,0,0,72,61,0,53,292,396,157,5,265,0,0,115,153,0,9,0,0,115,0,26,20,231,59,5,358,83,29,0,2771,78,143,36,317,89,211,7,0,0,0,0,38,50,203,3,1,0,0,0,191,139,3449,17,1,0,1,0,0,0,0,293,1,188,8,34,239,0,0,0,0,0,105,0,260,83,8,0,397,0,0,0,0,0,5143,166,0,200,102,1051,922,20,3,0,0,0,4,278,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,186.5,137,67,0,0,0,7,2,0,0,326,43,42,0,34,0,53,131,4,27,401,0,0,47,0,48,7,0,363,0,0,0,0,50,29,0,199,1,81,0,370,377,0,2,0,153,161,120,176,27,72,21,31,0,819,47,0,211,1115,4,19,7,4,1,56,48,8,0,72,0,43,0,5,8,20,1,232,877,2,3690,0,331,0,40,39,0,1,0,0,0,0,0,0,0,0,40,0,10,178,4,0,16,1048,2,0,0,0,0,81,0,329,0,0,0,952,3,0,0,0,3,40,12,25,2,0,0,0,0,0,0,0,56,24,135,21,40,0,0,84,43,90,3,0,0,214,0,0,0,0,0,0,0,71,72,0,54,174,345,35,75,6,0,0,113,166,0,31,0,0,72,0,47,13,132,189,0,270,95,23,0,369,42,195,24,289,23,0,5,0,0,0,0,27,66,172,2,0,0,0,0,159,184,3876,32,3,0,0,1,0,0,0,152,4,188,7,31,88,0,0,0,0,0,78,0,154,36,1,3,324,0,0,0,1,0,3618,348,0,0,0,402,3363,33,5,0,0,0,0,109,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,217.75,143,79,0,0,0,0,0,0,0,85,3,110,5,8,0,33,89,2,13,450,0,3,59,0,848,0,16,250,0,2,1,21,22,33,1,103,3,25,0,383,257,0,2,0,139,185,36,131,26,55,8,35,1,810,4,0,99,1504,3,23,14,1,7,83,48,35,0,81,0,56,0,10,6,20,1,49,324,0,3423,0,199,0,39,4,8,0,0,0,0,0,0,0,0,0,0,0,0,54,13,0,54,3787,4,0,0,0,0,84,0,186,0,0,0,433,3,0,0,0,1,41,30,28,0,3,0,0,0,1,0,0,53,29,198,41,66,0,0,168,98,68,2,0,0,244,0,0,0,0,0,0,0,71,97,0,53,226,358,28,73,132,0,0,104,258,0,37,0,0,137,0,21,34,220,322,4,326,146,12,0,481,76,141,33,176,84,601,4,0,0,0,1,53,42,195,0,0,0,0,0,300,276,3917,20,6,0,0,1,0,0,0,188,0,311,18,42,131,0,0,0,0,0,40,1,162,70,6,2,311,0,0,0,0,0,2067,155,0,0,0,125,1168,3,6,0,0,0,0,538,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,189.75,140,69,0,0,0,1,0,0,0,233,4,15,0,36,0,41,129,8,7,651,0,3,29,0,182,1,0,330,0,0,1,0,21,32,1,222,0,7,0,591,128,0,3,0,161,140,36,173,22,100,9,27,3,766,1,0,62,546,8,36,4,7,0,64,35,28,1,91,0,38,0,10,13,22,0,54,3172,1,4197,0,247,0,22,7,0,0,0,0,0,8,0,0,0,0,0,0,10,151,19,0,22,6035,38,0,0,0,0,64,0,280,0,0,0,575,13,0,0,0,0,40,24,28,0,1,1,0,0,0,0,0,36,7,195,45,74,1,0,122,92,80,2,0,0,264,0,0,0,0,0,0,0,62,71,0,64,243,286,38,67,52,0,0,99,245,0,36,1,0,143,0,30,8,260,284,1,462,96,35,0,1754,97,173,22,364,8,8,6,0,0,0,0,39,43,230,1,0,0,0,0,581,176,2813,26,11,0,0,0,0,0,0,133,0,489,8,54,305,3,0,0,0,0,69,0,209,98,3,0,380,0,0,0,0,0,3591,233,0,15,0,474,738,6,5,0,1,1,0,449,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,181,128,66,0,0,0,0,0,0,0,88,1,22,12,10,0,12,204,1,0,54,0,0,5,0,6,0,0,83,0,0,15,0,15,18,0,55,0,48,0,1659,294,0,2,0,145,179,96,165,17,87,3,28,0,747,14,0,146,367,11,27,13,1,0,72,48,24,0,56,0,38,0,23,11,49,0,44,70,1,1154,0,269,0,10,5,0,1,0,0,0,0,0,0,0,0,0,5,0,104,5,0,40,4214,9,0,0,0,0,32,0,158,0,0,0,472,0,0,0,0,0,14,18,17,0,4,0,0,0,0,0,0,34,1,171,52,59,1,0,107,74,68,1,0,0,232,0,0,0,0,0,0,0,67,37,0,49,186,354,232,93,72,0,0,134,268,0,77,0,0,130,0,40,23,201,217,1,234,42,18,0,741,78,133,22,411,25,0,6,0,0,0,0,39,15,184,2,0,0,0,0,536,126,3738,28,0,0,0,1,0,0,0,95,0,190,3,31,170,2,0,0,0,0,45,0,142,30,13,0,242,0,0,0,0,0,4790,231,0,0,0,1480,660,0,8,0,0,0,0,54,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
